"Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue"
"g00240","scaffold_1",1129867,1133714,0.1,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",3847,"AT5G15280"
"g00242","scaffold_1",1135090,1138214,0.17,"-",".","RNA-binding KH domain protein","ahrd-qc=***",3124,"AT5G15270"
"g00243","scaffold_1",1138930,1140734,0.13,"-",".","Unknown protein","",1804,NA
"g00244","scaffold_1",1144429,1148613,0.02,"+",".","Myosin heavy chain-like protein","ahrd-qc=***",4184,NA
"g00245","scaffold_1",1148979,1149733,0.32,"+",".","Unknown protein","",754,NA
"g00246","scaffold_1",1149879,1150499,0.35,"+",".","Uncharacterised protein","ahrd-qc=***",620,NA
"g00247","scaffold_1",1157389,1158847,0.2,"+",".","Structural constituent of ribosome","ahrd-qc=***",1458,"AT5G15260"
"g00248","scaffold_1",1159589,1162155,0.78,"+",".","ATP-dependent zinc metalloprotease FTSH 6","ahrd-qc=***",2566,"AT5G15250"
"g00249","scaffold_1",1162174,1166824,0.41,"-",".","Amino acid transporter family protein","ahrd-qc=***",4650,"AT5G15240"
"g00251","scaffold_1",1172419,1176572,0.25,"+",".","50S ribosomal protein L27","ahrd-qc=***",4153,"AT2G16930"
"g00252","scaffold_1",1181049,1182335,0.11,"+",".","Zinc-finger homeodomain protein 8","ahrd-qc=***",1286,"AT5G15210"
"g00253","scaffold_1",1182989,1184480,0.46,"+",".","40S ribosomal protein S9-1","ahrd-qc=***",1491,"AT5G15200"
"g00254","scaffold_1",1186269,1187132,0.32,"+",".","Unknown protein","",863,"AT5G15190"
"g00256","scaffold_1",1190067,1192024,0.59,"-",".","Peroxidase","ahrd-qc=***",1957,"AT5G15180"
"g00257","scaffold_1",1194599,1198086,0.38,"+",".","Tyrosyl-DNA phosphodiesterase 1","ahrd-qc=***",3487,"AT5G15170"
"g00258","scaffold_1",1203869,1205001,0.31,"+",".","Transcription factor PRE2","ahrd-qc=***",1132,"AT5G15160"
"g00259","scaffold_1",1218159,1220117,0.23,"+",".","Homeobox-leucine zipper protein HAT7","ahrd-qc=***",1958,"AT5G15150"
"g00260","scaffold_1",1223446,1225634,0.88,"-",".","Aldose 1-epimerase","ahrd-qc=***",2188,"AT5G15140"
"g00261","scaffold_1",1226264,1229084,0.25,"-",".","WRKY transcription factor 72.1","ahrd-qc=***",2820,"AT5G15130"
"g00262","scaffold_1",1230679,1236680,0.42,"+",".","Non-LTR retroelement reverse transcriptase-like protein","ahrd-qc=*-*",6001,NA
"g00263","scaffold_1",1241528,1243700,0.17,"-",".","2-aminoethanethiol dioxygenase","ahrd-qc=***",2172,"AT5G15120"
"g00264","scaffold_1",1244816,1246760,0.3,"-",".","Pectate lyase","ahrd-qc=***",1944,"AT5G15110"
"g00265","scaffold_1",1248695,1250540,0.17,"+",".","Auxin efflux carrier component","ahrd-qc=***",1845,"AT5G15100"
"g00266","scaffold_1",1251075,1253159,0.3,"+",".","Mitochondrial outer membrane protein porin 3","ahrd-qc=***",2084,"AT5G15090"
"g00267","scaffold_1",1253541,1256230,0.08,"-",".","Kinase family protein","ahrd-qc=***",2689,"AT5G15080"
"g00268","scaffold_1",1256665,1265900,0.36,"-",".","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase","ahrd-qc=***",9235,"AT5G15070"
"g00269","scaffold_1",1266545,1267140,0.25,"+",".","LOB domain-containing protein 34","ahrd-qc=*-*",595,"AT5G15060"
"g00270","scaffold_1",1283965,1285799,0.11,"+",".","Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein","ahrd-qc=***",1834,"AT5G15050"
"g00271","scaffold_1",1286975,1288063,0.41,"+",".","Paired amphipathic helix protein Sin3-like 2","ahrd-qc=*-*",1088,NA
"g00272","scaffold_1",1294315,1295155,0.22,"+",".","Paired amphipathic helix protein Sin3-like 2","ahrd-qc=*-*",840,NA
"g00273","scaffold_1",1297365,1298599,0.19,"+",".","Paired amphipathic helix protein Sin3-like 2","ahrd-qc=*-*",1234,NA
"g00274","scaffold_1",1299505,1306613,0.33,"+",".","Paired amphipathic helix protein Sin3-like 2","ahrd-qc=***",7108,"AT5G15020"
"g00275","scaffold_1",1306676,1309600,0.05,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",2924,"AT5G15010"
"g00276","scaffold_1",1311263,1311890,0.21,"-",".","Unknown protein","",627,"AT5G15000"
"g00278","scaffold_1",1316021,1316470,0.12,"-",".","Unknown protein","",449,"AT5G14995"
"g00279","scaffold_1",1316694,1319110,0.2,"-",".","BnaC02g05880D protein","ahrd-qc=***",2416,"AT5G14990"
"g00280","scaffold_1",1319205,1320300,0.14,"-",".","Esterase/lipase/thioesterase family protein","ahrd-qc=***",1095,"AT5G14980"
"g00281","scaffold_1",1320897,1322570,0.27,"-",".","Seed maturation-like protein","ahrd-qc=***",1673,"AT5G14970"
"g00282","scaffold_1",1323446,1326010,0.17,"-",".","E2F transcription factor-like E2FD","ahrd-qc=***",2564,"AT5G14960"
"g00283","scaffold_1",1328305,1333096,0.26,"+",".","Alpha-mannosidase 2","ahrd-qc=***",4791,"AT5G14950"
"g00284","scaffold_1",1336275,1340380,0.62,"+",".","Protein NRT1/ PTR FAMILY 5.8","ahrd-qc=***",4105,"AT5G14940"
"g00285","scaffold_1",1341820,1344130,0.29,"-",".","Senescence-associated gene 101","ahrd-qc=***",2310,"AT5G14930"
"g00286","scaffold_1",1344755,1346110,0.42,"-",".","Gibberellin-regulated protein 14","ahrd-qc=*-*",1355,"AT5G14920"
"g00287","scaffold_1",1347475,1349150,0.23,"-",".","Heavy-metal-associated domain-containing protein","ahrd-qc=***",1675,"AT5G14910"
"g00289","scaffold_1",1353715,1354420,0.23,"-",".","NHL repeat-containing protein","ahrd-qc=*-*",705,NA
"g00290","scaffold_1",1354910,1357430,0.5,"-",".","NHL repeat-containing protein","ahrd-qc=***",2520,"AT5G14890"
"g00291","scaffold_1",1357562,1361570,0.69,"-",".","Potassium transporter 8","ahrd-qc=***",4008,"AT5G14880"
"g00292","scaffold_1",1363575,1381411,0.17,"+",".","Transformation/transcription domain-associated protein","ahrd-qc=***",17836,"AT4G36080"
"g00293","scaffold_1",1381805,1384605,0.37,"+",".","Calcium-dependent protein kinase 18","ahrd-qc=***",2800,"AT4G36070"
"g00296","scaffold_1",1388740,1390100,0.36,"-",".","Transcription factor bHLH11","ahrd-qc=***",1360,"AT4G36060"
"g00297","scaffold_1",1390275,1393444,0.84,"+",".","DNA-(apurinic or apyrimidinic site) lyase 2","ahrd-qc=***",3169,"AT4G36050"
"g00298","scaffold_1",1395305,1396134,0.38,"+",".","Chaperone protein dnaJ 11%2C chloroplastic","ahrd-qc=***",829,"AT4G36040"
"g00299","scaffold_1",1414917,1417058,0.14,"+",".","Armadillo repeat only 3","ahrd-qc=***",2141,"AT4G36030"
"g00300","scaffold_1",1422387,1423511,0.11,"+",".","Cold shock protein 1","ahrd-qc=***",1124,"AT4G36020"
"g00301","scaffold_1",1424545,1426342,0.34,"-",".","Unknown protein","",1797,NA
"g00302","scaffold_1",1428177,1430167,0.06,"+",".","Pathogenesis-related thaumatin family protein","ahrd-qc=***",1990,"AT4G36010"
"g00303","scaffold_1",1430587,1431902,0.14,"+",".","Pathogenesis-related thaumatin superfamily protein","ahrd-qc=***",1315,"AT4G36000"
"g00304","scaffold_1",1432448,1434242,0.17,"-",".","Methyltransferase%2C putative","ahrd-qc=***",1794,"AT4G35987"
"g00305","scaffold_1",1435347,1437220,0.9,"+",".","Senescence/dehydration-associated protein","ahrd-qc=***",1873,"AT4G35985"
"g00306","scaffold_1",1437877,1438920,0.17,"+",".","Unknown protein","",1043,"AT4G35980"
"g00307","scaffold_1",1439199,1441392,0.5,"-",".","L-ascorbate peroxidase 5%2C peroxisomal","ahrd-qc=***",2193,"AT4G35970"
"g00309","scaffold_1",1444607,1446641,0.31,"+",".","Rac-like GTP-binding protein 6","ahrd-qc=***",2034,"AT4G35950"
"g00310","scaffold_1",1446755,1448862,0.6,"-",".","BnaC07g45890D protein","ahrd-qc=***",2107,"AT4G35940"
"g00311","scaffold_1",1449245,1451202,0.68,"-",".","F-box protein At4g35930","ahrd-qc=***",1957,"AT4G35930"
"g00313","scaffold_1",1464987,1468273,0.29,"+",".","Protein MID1-COMPLEMENTING ACTIVITY 1","ahrd-qc=***",3286,"AT4G35920"
"g00314","scaffold_1",1468577,1471411,0.3,"+",".","Cytoplasmic tRNA 2-thiolation protein 2","ahrd-qc=***",2834,"AT4G35910"
"g00315","scaffold_1",1471727,1472815,0.38,"+",".","Protein preY%2C mitochondrial","ahrd-qc=***",1088,"AT4G35905"
"g00316","scaffold_1",1473702,1475212,0.24,"-",".","Bzip transcription factor","ahrd-qc=***",1510,"AT4G35900"
"g00317","scaffold_1",1481632,1484942,0.22,"-",".","Winged-helix DNA-binding transcription factor family protein%2C putative","ahrd-qc=***",3310,"AT4G35890"
"g00318","scaffold_1",1490046,1492802,0.47,"-",".","Aspartyl protease family protein","ahrd-qc=***",2756,"AT4G35880"
"g00319","scaffold_1",1492919,1495732,0.02,"-",".","Hyperosmolality-gated Ca2+ permeable channel 4.1","ahrd-qc=***",2813,"AT4G35870"
"g00323","scaffold_1",1504677,1506531,0.28,"+",".","Ras-related protein Rab-2-B","ahrd-qc=***",1854,"AT4G35860"
"g00324","scaffold_1",1506633,1509942,0.19,"-",".","Pentatricopeptide repeat superfamily protein","ahrd-qc=***",3309,"AT4G35850"
"g00325","scaffold_1",1511163,1512842,0.28,"-",".","RING finger protein","ahrd-qc=***",1679,"AT4G35840"
"g00326","scaffold_1",1518497,1523835,0.56,"+",".","Aconitate hydratase 1","ahrd-qc=***",5338,"AT4G35830"
"g00327","scaffold_1",1523894,1525532,0.09,"-",".","Prolyl 4-hydroxylase subunit alpha-1","ahrd-qc=*-*",1638,"AT4G35820"
"g00328","scaffold_1",1527307,1529262,0.29,"-",".","Prolyl 4-hydroxylase subunit alpha-1","ahrd-qc=***",1955,"AT4G35810"
"g00329","scaffold_1",1530087,1537633,0.76,"+",".","DNA-directed RNA polymerase II subunit 1","ahrd-qc=***",7546,"AT4G35800"
"g00330","scaffold_1",1538317,1542691,0.23,"+",".","Phospholipase D","ahrd-qc=***",4374,"AT4G35790"
"g00331","scaffold_1",1543057,1545397,2.26,"+",".","BnaC01g02880D protein","ahrd-qc=*-*",2340,"AT4G35785"
"g00333","scaffold_1",1548967,1552799,0.52,"+",".","Kinase family protein","ahrd-qc=***",3832,"AT4G35780"
"g00334","scaffold_1",1552820,1553892,0.39,"-",".","Rhodanese-like domain-containing protein 15%2C chloroplastic","ahrd-qc=***",1072,"AT4G35770"
"g00335","scaffold_1",1554277,1556594,0.19,"+",".","Thiol-disulfide oxidoreductase LTO1","ahrd-qc=***",2317,"AT4G35760"
"g00336","scaffold_1",1557167,1558449,0.55,"+",".","Ganglioside-induced differentiation-associated protein","ahrd-qc=***",1282,"AT4G35750"
"g00337","scaffold_1",1558658,1562932,0.15,"-",".","ATP-dependent DNA helicase Q-like 3","ahrd-qc=***",4274,"AT4G35740"
"g00338","scaffold_1",1563176,1564462,0.69,"-",".","F-box protein At4g35733","ahrd-qc=***",1286,"AT4G35733"
"g00339","scaffold_1",1565149,1567552,0.26,"-",".","Regulator of Vps4 activity in the MVB pathway protein","ahrd-qc=***",2403,"AT4G35730"
"g00340","scaffold_1",1573293,1574537,0.22,"-",".","BnaAnng08220D protein","ahrd-qc=***",1244,"AT4G35720"
"g00341","scaffold_1",1580269,1581337,0.28,"-",".","BnaA08g14910D protein","ahrd-qc=***",1068,"AT4G35710"
"g00342","scaffold_1",1582288,1583407,0.29,"-",".","At4g35700","ahrd-qc=***",1119,"AT4G35700"
"g00343","scaffold_1",1583916,1584967,0.17,"-",".","BnaC07g45770D protein","ahrd-qc=***",1051,"AT4G35690"
"g00344","scaffold_1",1585842,1587346,0.15,"+",".","Unknown protein","",1504,NA
"g00345","scaffold_1",1588992,1589896,0.17,"+",".","Nucleolin 2","ahrd-qc=*-*",904,NA
"g00346","scaffold_1",1590146,1591267,0.2,"-",".","BnaA01g01850D protein","ahrd-qc=***",1121,"AT4G35680"
"g00347","scaffold_1",1595390,1596497,0.56,"-",".","BnaC07g45740D protein","ahrd-qc=***",1107,"AT4G35660"
"g00348","scaffold_1",1597967,1598507,0.53,"-",".","RPM1-interacting protein 4","ahrd-qc=--*",540,"AT4G35655"
"g00349","scaffold_1",1598897,1600597,0.1,"-",".","Isocitrate dehydrogenase [NAD] regulatory subunit 3%2C mitochondrial","ahrd-qc=***",1700,"AT4G35650"
"g00350","scaffold_1",1600942,1603828,0.01,"+",".","Serine acetyltransferase 4","ahrd-qc=***",2886,"AT4G35640"
"g00351","scaffold_1",1603848,1605297,0.32,"-",".","Phosphoserine aminotransferase","ahrd-qc=***",1449,"AT4G35630"
"g00352","scaffold_1",1605511,1607877,0.62,"-",".","Cyclin-B2-2","ahrd-qc=***",2366,"AT4G35620"
"g00353","scaffold_1",1609282,1610376,0.45,"+",".","Zinc finger protein ZAT3","ahrd-qc=*-*",1094,"AT4G35610"
"g00354","scaffold_1",1610609,1617147,0.09,"-",".","Connexin 32","ahrd-qc=***",6538,"AT4G35600"
"g00355","scaffold_1",1619512,1621956,0.16,"+",".","NAC domain-containing 74","ahrd-qc=*-*",2444,"AT4G35580"
"g00356","scaffold_1",1622052,1623336,0.11,"+",".","High mobility group B protein 5","ahrd-qc=***",1284,"AT4G35570"
"g00357","scaffold_1",1623423,1629037,0.15,"-",".","Transducin/WD40 repeat-like superfamily protein isoform 1","ahrd-qc=***",5614,"AT4G35560"
"g00358","scaffold_1",1632022,1633775,0.12,"+",".","FAD-binding Berberine family protein","ahrd-qc=***",1753,NA
"g00359","scaffold_1",1635542,1637321,0.58,"+",".","FAD-binding Berberine family protein","ahrd-qc=***",1779,NA
"g00360","scaffold_1",1641772,1643397,0.12,"+",".","WUSCHEL-related homeobox 13","ahrd-qc=***",1625,"AT4G35550"
"g00361","scaffold_1",1643513,1645287,0.73,"-",".","Zinc ion binding protein","ahrd-qc=***",1774,"AT4G35540"
"g00362","scaffold_1",1645382,1647287,0.32,"+",".","Phosphatidylinositolglycan-related protein","ahrd-qc=***",1905,"AT4G35530"
"g00363","scaffold_1",1649809,1656247,0.42,"-",".","DNA mismatch repair protein MLH3","ahrd-qc=***",6438,"AT4G35520"
"g00364","scaffold_1",1657312,1659152,0.42,"+",".","BnaA01g01940D protein","ahrd-qc=***",1840,"AT4G35510"
"g00365","scaffold_1",1660172,1662406,0.11,"+",".","Unknown protein","",2234,NA
"g00366","scaffold_1",1663356,1665597,0.3,"-",".","Kinase family protein","ahrd-qc=***",2241,"AT4G35500"
"g00367","scaffold_1",1666207,1666997,0.17,"-",".","50S ribosomal protein L11","ahrd-qc=***",790,"AT4G35490"
"g00368","scaffold_1",1671312,1672103,0.31,"+",".","Ring-H2 finger A3B","ahrd-qc=***",791,"AT4G35480"
"g00369","scaffold_1",1676874,1679607,0.08,"-",".","Leucine-rich repeat-containing 40","ahrd-qc=***",2733,"AT4G35470"
"g00370","scaffold_1",1681863,1683597,0.05,"-",".","Thioredoxin reductase 1","ahrd-qc=***",1734,"AT4G35460"
"g00371","scaffold_1",1683809,1686207,0.54,"-",".","Ankyrin repeat domain-containing protein 2A","ahrd-qc=***",2398,"AT4G35450"
"g00372","scaffold_1",1686382,1689993,0.35,"+",".","Chloride channel protein","ahrd-qc=***",3611,"AT4G35440"
"g00373","scaffold_1",1690042,1691774,0.34,"+",".","Dihydroflavonol 4-reductase family","ahrd-qc=***",1732,"AT4G35420"
"g00374","scaffold_1",1691839,1693307,0.15,"-",".","AP-1 complex subunit sigma-2","ahrd-qc=***",1468,"AT4G35410"
"g00375","scaffold_1",1694349,1695747,0.43,"-",".","AT-hook motif nuclear-localized protein 25","ahrd-qc=***",1398,"AT4G35390"
"g00377","scaffold_1",1704082,1710287,0.51,"-",".","Brefeldin A-inhibited guanine nucleotide-exchange protein 4","ahrd-qc=***",6205,"AT4G35380"
"g00378","scaffold_1",1711258,1718617,0.25,"-",".","WD-40 repeat family protein","ahrd-qc=***",7359,"AT4G35370"
"g00379","scaffold_1",1718722,1721516,0.2,"+",".","Pantothenate kinase","ahrd-qc=***",2794,"AT4G35360"
"g00380","scaffold_1",1721690,1723197,0.78,"-",".","Xylem cysteine proteinase 1","ahrd-qc=***",1507,"AT4G35350"
"g00381","scaffold_1",1723457,1726507,0.44,"-",".","CMP-sialic acid transporter 4","ahrd-qc=***",3050,"AT4G35335"
"g00382","scaffold_1",1727112,1727820,0.36,"+",".","AT4g35320/F23E12_120","ahrd-qc=***",708,"AT4G35320"
"g00383","scaffold_1",1728761,1732967,0.31,"-",".","Calcium-dependent protein kinase 5","ahrd-qc=***",4206,"AT4G35310"
"g00384","scaffold_1",1735782,1738928,0.13,"+",".","Monosaccharide-sensing protein 2","ahrd-qc=***",3146,"AT4G35300"
"g00385","scaffold_1",1738944,1744377,0.08,"-",".","Glutamate receptor 3.2","ahrd-qc=***",5433,"AT4G35290"
"g00386","scaffold_1",1745582,1746673,0.25,"+",".","Zinc finger family protein","ahrd-qc=***",1091,"AT4G35280"
"g00387","scaffold_1",1755850,1758239,0.12,"+",".","Nodule inception protein","ahrd-qc=***",2389,"AT4G35270"
"g00388","scaffold_1",1758850,1761316,0.21,"+",".","Isocitrate dehydrogenase [NAD] regulatory subunit 1%2C mitochondrial","ahrd-qc=***",2466,"AT4G35260"
"g00394","scaffold_1",1782240,1783809,0.29,"+",".","Unknown protein","",1569,NA
"g00399","scaffold_1",1803860,1806144,0.3,"+",".","3-beta hydroxysteroid dehydrogenase","ahrd-qc=***",2284,"AT4G35250"
"g00400","scaffold_1",1814100,1817731,0.08,"+",".","DNA-directed RNA polymerase subunit beta","ahrd-qc=***",3631,"AT4G35240"
"g00401","scaffold_1",1823220,1826225,0.31,"+",".","Receptor protein kinase%2C putative","ahrd-qc=***",3005,"AT4G35230"
"g00402","scaffold_1",1827056,1828675,0.53,"-",".","Kynurenine formamidase","ahrd-qc=***",1619,"AT4G35220"
"g00403","scaffold_1",1828872,1829865,0.26,"-",".","BnaC03g65350D protein","ahrd-qc=***",993,"AT4G35210"
"g00408","scaffold_1",1840383,1841915,0.15,"-",".","Cytokinin riboside 5'-monophosphate phosphoribohydrolase","ahrd-qc=***",1532,"AT4G35190"
"g00409","scaffold_1",1850210,1852271,0.41,"+",".","Lysine histidine transporter-like 7","ahrd-qc=***",2061,"AT4G35180"
"g00410","scaffold_1",1852338,1853995,0.27,"-",".","Late embryogenesis abundant hydroxyproline-rich glycoprotein","ahrd-qc=***",1657,"AT4G35170"
"g00411","scaffold_1",1855020,1855655,0.33,"-",".","Egg cell-secreted protein 1.4","ahrd-qc=-**",635,"AT2G14378"
"g00412","scaffold_1",1861810,1865328,1.03,"+",".","O-methyltransferase family 2 protein","ahrd-qc=***",3518,"AT4G35160"
"g00413","scaffold_1",1866780,1874774,0.01,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",7994,"AT4G35140"
"g00416","scaffold_1",1883801,1885205,0.2,"-",".","Kelch repeat-containing F-box family protein","ahrd-qc=***",1404,NA
"g00417","scaffold_1",1887100,1889536,0.31,"+",".","Phospholipase-like (PEARLI 4) family protein","ahrd-qc=***",2436,"AT4G35110"
"g00418","scaffold_1",1901356,1902935,0.21,"-",".","Aquaporin","ahrd-qc=***",1579,"AT4G35100"
"g00419","scaffold_1",1910810,1913637,0.86,"+",".","Catalase-2","ahrd-qc=***",2827,"AT4G35090"
"g00420","scaffold_1",1914252,1916235,0.53,"-",".","High-affinity nickel-transport family protein","ahrd-qc=***",1983,"AT4G35080"
"g00421","scaffold_1",1922678,1924105,0.24,"-",".","SBP (S-ribonuclease binding protein) family protein","ahrd-qc=***",1427,"AT4G35070"
"g00422","scaffold_1",1935265,1935990,0.08,"+",".","Metal ion binding protein","ahrd-qc=***",725,"AT4G35060"
"g00423","scaffold_1",1936925,1939283,0.16,"+",".","Histone-binding protein RBBP4","ahrd-qc=***",2358,"AT4G35050"
"g00424","scaffold_1",1939953,1942090,0.96,"-",".","Basic-leucine zipper (BZIP) transcription factor family protein isoform 7","ahrd-qc=***",2137,"AT4G35040"
"g00425","scaffold_1",1971096,1973540,0.04,"-",".","Protein kinase-like","ahrd-qc=***",2444,"AT4G35030"
"g00426","scaffold_1",1974924,1976650,0.32,"-",".","Rac-like GTP-binding protein 7","ahrd-qc=***",1726,"AT4G35020"
"g00427","scaffold_1",1977925,1982114,0.4,"+",".","Beta-galactosidase 11","ahrd-qc=***",4189,"AT4G35010"
"g00428","scaffold_1",1982415,1985423,0.33,"+",".","Ascorbate peroxidase","ahrd-qc=***",3008,"AT4G35000"
"g00429","scaffold_1",1987965,1989000,0.13,"+",".","MYB transcription factor 32-1","ahrd-qc=***",1035,"AT4G34990"
"g00430","scaffold_1",1991245,1993789,0.28,"+",".","Subtilisin-like protease","ahrd-qc=***",2544,"AT4G34980"
"g00431","scaffold_1",1996473,1997790,0.38,"-",".","Cofilin/actin-depolymerizing factor-like protein","ahrd-qc=***",1317,"AT4G34970"
"g00432","scaffold_1",2000466,2002620,0.09,"-",".","Peptidyl-prolyl cis-trans isomerase","ahrd-qc=***",2154,"AT4G34960"
"g00433","scaffold_1",2015745,2018289,0.26,"+",".","Major facilitator family protein","ahrd-qc=***",2544,"AT4G34950"
"g00434","scaffold_1",2018523,2021040,0.33,"-",".","Armadillo repeat only 1 protein","ahrd-qc=***",2517,"AT4G34940"
"g00435","scaffold_1",2021604,2022930,0.19,"-",".","1-phosphatidylinositol phosphodiesterase-related protein","ahrd-qc=***",1326,"AT4G34920"
"g00436","scaffold_1",2023636,2029980,0.15,"-",".","ATP dependent RNA helicase","ahrd-qc=***",6344,"AT4G34910"
"g00438","scaffold_1",2036675,2042844,0.41,"+",".","Xanthine dehydrogenase 1","ahrd-qc=***",6169,"AT4G34890"
"g00439","scaffold_1",2043389,2044150,0.7,"-",".","Peptidyl-prolyl cis-trans isomerase","ahrd-qc=***",761,"AT4G34870"
"g00440","scaffold_1",2045175,2048183,0.78,"+",".","Glutathione S-transferase T3","ahrd-qc=*-*",3008,NA
"g00441","scaffold_1",2049755,2052708,0.26,"+",".","Neutral/alkaline invertase","ahrd-qc=***",2953,"AT4G34860"
"g00442","scaffold_1",2052726,2054240,0.43,"-",".","Chalcone synthase family protein","ahrd-qc=***",1514,"AT4G34850"
"g00443","scaffold_1",2054781,2056550,0.26,"-",".","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 2","ahrd-qc=***",1769,"AT4G34840"
